Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:23,2020-09-11 01:01:24,"1,051s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 01:01:24,2020-09-11 01:01:28,"3,931s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:28,2020-09-11 01:01:28,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu,,,,2020-09-11 01:01:28,2020-09-11 01:01:33,"4,994s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:28,2020-09-11 01:01:29,"0,980s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 01:01:30,2020-09-11 01:01:33,"3,834s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:33,2020-09-11 01:01:33,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle,,,,2020-09-11 01:01:33,2020-09-11 01:01:38,"5,029s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:33,2020-09-11 01:01:34,"1,043s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle.feature"")",,,,2020-09-11 01:01:35,2020-09-11 01:01:38,"3,826s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:38,2020-09-11 01:01:38,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla,,,,2020-09-11 01:01:38,2020-09-11 01:01:44,"5,118s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:38,2020-09-11 01:01:39,"1,046s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla.feature"")",,,,2020-09-11 01:01:40,2020-09-11 01:01:44,"3,926s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:44,2020-09-11 01:01:44,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu,,,,2020-09-11 01:01:44,2020-09-11 01:01:49,"5,238s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:44,2020-09-11 01:01:45,"1,002s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 01:01:45,2020-09-11 01:01:49,"4,044s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:49,2020-09-11 01:01:49,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu,,,,2020-09-11 01:01:49,2020-09-11 01:01:54,"5,136s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:49,2020-09-11 01:01:50,"0,997s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 01:01:50,2020-09-11 01:01:54,"3,968s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:54,2020-09-11 01:01:54,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle,,,,2020-09-11 01:01:54,2020-09-11 01:01:59,"5,133s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:54,2020-09-11 01:01:55,"0,991s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle.feature"")",,,,2020-09-11 01:01:55,2020-09-11 01:01:59,"3,990s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:01:59,2020-09-11 01:01:59,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla,,,,2020-09-11 01:01:59,2020-09-11 01:02:04,"5,189s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:01:59,2020-09-11 01:02:00,"1,045s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla.feature"")",,,,2020-09-11 01:02:00,2020-09-11 01:02:04,"3,988s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:04,2020-09-11 01:02:04,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu,,,,2020-09-11 01:02:04,2020-09-11 01:02:10,"5,447s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:04,2020-09-11 01:02:05,"1,045s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu.feature"")",,,,2020-09-11 01:02:05,2020-09-11 01:02:10,"4,232s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:10,2020-09-11 01:02:10,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Filtre Kontrolu,,,,2020-09-11 01:02:10,2020-09-11 01:02:15,"5,625s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:10,2020-09-11 01:02:11,"1,007s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Filtre Kontrolu.feature"")",,,,2020-09-11 01:02:11,2020-09-11 01:02:15,"4,416s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:15,2020-09-11 01:02:15,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Ayarlarim/Baslik Kontrolu,,,,2020-09-11 01:02:15,2020-09-11 01:02:20,"5,136s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:15,2020-09-11 01:02:16,"0,997s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Ayarlarim/Baslik Kontrolu.feature"")",,,,2020-09-11 01:02:17,2020-09-11 01:02:20,"3,955s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:20,2020-09-11 01:02:20,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Ayarlarim/Fatura ve Zarflar Icin Sayfadaki Kayit Sayisi,,,,2020-09-11 01:02:20,2020-09-11 01:02:26,"5,116s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:20,2020-09-11 01:02:22,"1,052s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Ayarlarim/Fatura ve Zarflar Icin Sayfadaki Kayit Sayisi.feature"")",,,,2020-09-11 01:02:22,2020-09-11 01:02:26,"3,834s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:26,2020-09-11 01:02:26,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/e-Arsiv Ayarlari/e-Arsiv Faturalari Icin On Deger XSLT,,,,2020-09-11 01:02:26,2020-09-11 01:02:31,"4,902s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:26,2020-09-11 01:02:27,"0,997s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/e-Arsiv Ayarlari/e-Arsiv Faturalari Icin On Deger XSLT.feature"")",,,,2020-09-11 01:02:27,2020-09-11 01:02:31,"3,735s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:31,2020-09-11 01:02:31,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Firma Bilgileri/Firma Bilgileri,,,,2020-09-11 01:02:31,2020-09-11 01:02:35,"4,923s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:31,2020-09-11 01:02:32,"0,992s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Firma Bilgileri/Firma Bilgileri.feature"")",,,,2020-09-11 01:02:32,2020-09-11 01:02:35,"3,748s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:35,2020-09-11 01:02:35,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Arsiv/Buton Kontrolu,,,,2020-09-11 01:02:35,2020-09-11 01:02:41,"5,092s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:35,2020-09-11 01:02:36,"0,992s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Arsiv/Buton Kontrolu.feature"")",,,,2020-09-11 01:02:37,2020-09-11 01:02:41,"3,941s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:41,2020-09-11 01:02:41,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Arsiv/On Deger Ata,,,,2020-09-11 01:02:41,2020-09-11 01:02:46,"5,040s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:41,2020-09-11 01:02:42,"0,986s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Arsiv/On Deger Ata.feature"")",,,,2020-09-11 01:02:42,2020-09-11 01:02:46,"3,865s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:46,2020-09-11 01:02:46,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Arsiv/Onizleme,,,,2020-09-11 01:02:46,2020-09-11 01:02:50,"4,815s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:46,2020-09-11 01:02:47,"0,992s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Arsiv/Onizleme.feature"")",,,,2020-09-11 01:02:47,2020-09-11 01:02:50,"3,616s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:50,2020-09-11 01:02:50,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Arsiv/Tasarimi Indir,,,,2020-09-11 01:02:50,2020-09-11 01:02:55,"4,684s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:50,2020-09-11 01:02:51,"0,990s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Arsiv/Tasarimi Indir.feature"")",,,,2020-09-11 01:02:52,2020-09-11 01:02:55,"3,536s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:02:55,2020-09-11 01:02:55,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/Buton Kontrolu,,,,2020-09-11 01:02:55,2020-09-11 01:03:00,"4,812s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:02:55,2020-09-11 01:02:56,"0,987s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/Buton Kontrolu.feature"")",,,,2020-09-11 01:02:56,2020-09-11 01:03:00,"3,666s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:00,2020-09-11 01:03:00,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/On Deger Ata,,,,2020-09-11 01:03:00,2020-09-11 01:03:05,"5,021s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:00,2020-09-11 01:03:01,"1,049s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/On Deger Ata.feature"")",,,,2020-09-11 01:03:01,2020-09-11 01:03:05,"3,799s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:05,2020-09-11 01:03:05,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/Onizleme,,,,2020-09-11 01:03:05,2020-09-11 01:03:10,"4,949s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:05,2020-09-11 01:03:06,"1,051s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/Onizleme.feature"")",,,,2020-09-11 01:03:06,2020-09-11 01:03:10,"3,708s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:10,2020-09-11 01:03:10,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Fatura/Tasarimi Indir,,,,2020-09-11 01:03:10,2020-09-11 01:03:15,"5,065s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:10,2020-09-11 01:03:11,"1,055s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Fatura/Tasarimi Indir.feature"")",,,,2020-09-11 01:03:11,2020-09-11 01:03:15,"3,815s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:15,2020-09-11 01:03:15,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Irsaliye/Buton Kontrolu,,,,2020-09-11 01:03:15,2020-09-11 01:03:20,"4,754s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:15,2020-09-11 01:03:16,"0,995s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Irsaliye/Buton Kontrolu.feature"")",,,,2020-09-11 01:03:16,2020-09-11 01:03:20,"3,575s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:20,2020-09-11 01:03:20,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Irsaliye/On Deger Ata,,,,2020-09-11 01:03:20,2020-09-11 01:03:24,"4,743s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:20,2020-09-11 01:03:21,"1,001s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Irsaliye/On Deger Ata.feature"")",,,,2020-09-11 01:03:21,2020-09-11 01:03:24,"3,578s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:24,2020-09-11 01:03:24,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Irsaliye/Onizleme,,,,2020-09-11 01:03:24,2020-09-11 01:03:29,"4,925s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:24,2020-09-11 01:03:25,"1,028s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Irsaliye/Onizleme.feature"")",,,,2020-09-11 01:03:26,2020-09-11 01:03:29,"3,734s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:29,2020-09-11 01:03:29,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Irsaliye/Tasarimi Indir,,,,2020-09-11 01:03:29,2020-09-11 01:03:34,"4,882s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:29,2020-09-11 01:03:30,"0,987s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Irsaliye/Tasarimi Indir.feature"")",,,,2020-09-11 01:03:31,2020-09-11 01:03:34,"3,723s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:34,2020-09-11 01:03:34,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Mustahsil Makbuzu/Buton Kontrolu,,,,2020-09-11 01:03:34,2020-09-11 01:03:39,"4,830s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:34,2020-09-11 01:03:35,"0,984s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Mustahsil Makbuzu/Buton Kontrolu.feature"")",,,,2020-09-11 01:03:35,2020-09-11 01:03:39,"3,687s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:39,2020-09-11 01:03:39,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Mustahsil Makbuzu/On Deger Ata,,,,2020-09-11 01:03:39,2020-09-11 01:03:44,"4,889s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:39,2020-09-11 01:03:40,"0,983s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Mustahsil Makbuzu/On Deger Ata.feature"")",,,,2020-09-11 01:03:40,2020-09-11 01:03:44,"3,738s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:44,2020-09-11 01:03:44,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Mustahsil Makbuzu/Onizleme,,,,2020-09-11 01:03:44,2020-09-11 01:03:49,"4,597s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:44,2020-09-11 01:03:45,"0,987s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Mustahsil Makbuzu/Onizleme.feature"")",,,,2020-09-11 01:03:45,2020-09-11 01:03:49,"3,445s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:49,2020-09-11 01:03:49,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Mustahsil Makbuzu/Tasarimi Indir,,,,2020-09-11 01:03:49,2020-09-11 01:03:53,"4,847s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:49,2020-09-11 01:03:50,"1,088s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Mustahsil Makbuzu/Tasarimi Indir.feature"")",,,,2020-09-11 01:03:50,2020-09-11 01:03:53,"3,599s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:53,2020-09-11 01:03:53,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Serbest Meslek Makbuzu/Buton Kontrolu,,,,2020-09-11 01:03:53,2020-09-11 01:03:58,"4,839s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:53,2020-09-11 01:03:54,"0,992s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Serbest Meslek Makbuzu/Buton Kontrolu.feature"")",,,,2020-09-11 01:03:55,2020-09-11 01:03:58,"3,668s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:03:58,2020-09-11 01:03:58,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Serbest Meslek Makbuzu/On Deger Ata,,,,2020-09-11 01:03:58,2020-09-11 01:04:03,"4,879s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:03:58,2020-09-11 01:03:59,"0,994s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Serbest Meslek Makbuzu/On Deger Ata.feature"")",,,,2020-09-11 01:03:59,2020-09-11 01:04:03,"3,733s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 01:04:03,2020-09-11 01:04:03,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Gorsel Tasarim/Hazir Tasarim Araci/e-Serbest Meslek Makbuzu/Onizleme,,,,2020-09-11 01:04:03,2020-09-11 01:04:08,"5,017s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 01:04:03,2020-09-11 01:04:04,"0,977s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Gorsel Tasarimlar/Hazir Tasarim Araci/e-Serbest Meslek Makbuzu/Onizleme.feature"")",,,,2020-09-11 01:04:04,2020-09-11 01:04:08,"3,876s",FAILED
