Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-12 01:00:42,2020-09-12 01:47:31,"46m - 49,717s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-12 01:00:42,2020-09-12 01:00:47,"5,383s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:00:42,2020-09-12 01:00:45,"3,313s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-12 01:00:46,2020-09-12 01:00:47,"1,751s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:00:47,2020-09-12 01:00:47,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-12 01:00:47,2020-09-12 01:00:55,"7,721s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:00:47,2020-09-12 01:00:48,"1,110s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-12 01:00:49,2020-09-12 01:00:55,"6,395s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:00:55,2020-09-12 01:00:55,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-12 01:00:55,2020-09-12 01:01:03,"7,549s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:00:55,2020-09-12 01:00:56,"1,156s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-12 01:00:56,2020-09-12 01:01:03,"6,179s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:01:03,2020-09-12 01:01:03,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-12 01:01:03,2020-09-12 01:01:10,"7,545s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:01:03,2020-09-12 01:01:04,"1,167s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-12 01:01:04,2020-09-12 01:01:10,"6,187s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:01:10,2020-09-12 01:01:10,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,,,,2020-09-12 01:01:10,2020-09-12 01:01:17,"7,071s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:01:10,2020-09-12 01:01:11,"1,141s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",,,,2020-09-12 01:01:12,2020-09-12 01:01:17,"5,746s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:01:17,2020-09-12 01:01:17,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,,,,2020-09-12 01:01:17,2020-09-12 01:01:25,"7,272s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:01:17,2020-09-12 01:01:18,"1,154s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-12 01:01:19,2020-09-12 01:01:25,"5,932s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:01:25,2020-09-12 01:01:25,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu,,,,2020-09-12 01:01:25,2020-09-12 01:01:32,"7,116s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 01:01:25,2020-09-12 01:01:26,"1,135s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-12 01:01:26,2020-09-12 01:01:32,"5,791s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 01:01:32,2020-09-12 01:01:32,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,,,,2020-09-12 01:01:32,2020-09-12 01:01:39,"7,081s",FAILED
