Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,Chrome 84.0.4147.135,,,2020-09-09 12:00:29,2020-09-09 14:30:21,"2h - 29m - 52,196s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,Chrome 84.0.4147.135,,,2020-09-09 12:00:29,2020-09-09 12:01:14,"44,588s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:00:29,2020-09-09 12:00:53,"23,390s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-09 12:00:53,2020-09-09 12:01:14,"20,957s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:01:14,2020-09-09 12:01:14,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,Chrome 84.0.4147.135,,,2020-09-09 12:01:14,2020-09-09 12:01:33,"19,165s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:01:14,2020-09-09 12:01:19,"4,946s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-09 12:01:19,2020-09-09 12:01:33,"14,025s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:01:33,2020-09-09 12:01:33,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,Chrome 84.0.4147.135,,,2020-09-09 12:01:33,2020-09-09 12:01:51,"18,367s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:01:33,2020-09-09 12:01:37,"4,261s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-09 12:01:38,2020-09-09 12:01:51,"13,920s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:01:51,2020-09-09 12:01:51,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,Chrome 84.0.4147.135,,,2020-09-09 12:01:51,2020-09-09 12:02:11,"19,049s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:01:52,2020-09-09 12:01:56,"4,912s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",Chrome 84.0.4147.135,,,2020-09-09 12:01:57,2020-09-09 12:02:11,"13,948s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:02:11,2020-09-09 12:02:11,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,Chrome 84.0.4147.135,,,2020-09-09 12:02:11,2020-09-09 12:02:30,"19,023s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:02:11,2020-09-09 12:02:16,"4,967s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-09 12:02:16,2020-09-09 12:02:30,"13,870s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:02:30,2020-09-09 12:02:30,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,Chrome 84.0.4147.135,,,2020-09-09 12:02:30,2020-09-09 12:02:51,"20,970s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-09 12:02:30,2020-09-09 12:02:35,"4,938s",PASSED
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",Chrome 84.0.4147.135,,,2020-09-09 12:02:35,2020-09-09 12:02:51,"15,852s",PASSED
