Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-12 12:00:53,2020-09-12 12:51:06,"50m - 12,829s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-12 12:00:53,2020-09-12 12:00:59,"5,139s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 12:00:53,2020-09-12 12:00:57,"3,131s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-12 12:00:57,2020-09-12 12:00:58,"1,578s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 12:00:59,2020-09-12 12:00:59,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-12 12:00:59,2020-09-12 12:01:07,"8,449s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 12:00:59,2020-09-12 12:01:00,"1,186s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-12 12:01:00,2020-09-12 12:01:07,"7,020s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 12:01:07,2020-09-12 12:01:07,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-12 12:01:07,2020-09-12 12:01:15,"8,005s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 12:01:07,2020-09-12 12:01:08,"1,172s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-12 12:01:08,2020-09-12 12:01:15,"6,662s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 12:01:15,2020-09-12 12:01:15,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-12 12:01:15,2020-09-12 12:01:23,"7,592s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-12 12:01:15,2020-09-12 12:01:16,"1,128s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-12 12:01:16,2020-09-12 12:01:23,"6,273s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-12 12:01:23,2020-09-12 12:01:23,"0,000s",PASSED
,,,,,,,
