Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-10 12:00:36,2020-09-10 12:32:25,"31m - 48,730s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-10 12:00:37,2020-09-10 12:00:45,"8,543s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:00:37,2020-09-10 12:00:40,"3,434s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-10 12:00:40,2020-09-10 12:00:45,"4,797s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:00:45,2020-09-10 12:00:45,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-10 12:00:45,2020-09-10 12:00:50,"4,636s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:00:45,2020-09-10 12:00:46,"1,028s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-10 12:00:46,2020-09-10 12:00:50,"3,381s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:00:50,2020-09-10 12:00:50,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-10 12:00:50,2020-09-10 12:00:54,"4,445s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:00:50,2020-09-10 12:00:51,"1,054s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-10 12:00:51,2020-09-10 12:00:54,"3,183s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:00:54,2020-09-10 12:00:54,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-10 12:00:54,2020-09-10 12:00:59,"4,678s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:00:54,2020-09-10 12:00:55,"0,995s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-10 12:00:55,2020-09-10 12:00:59,"3,493s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:00:59,2020-09-10 12:00:59,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,,,,2020-09-10 12:00:59,2020-09-10 12:01:04,"4,937s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:00:59,2020-09-10 12:01:00,"1,057s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",,,,2020-09-10 12:01:00,2020-09-10 12:01:04,"3,657s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:04,2020-09-10 12:01:04,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,,,,2020-09-10 12:01:04,2020-09-10 12:01:09,"4,673s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:04,2020-09-10 12:01:05,"1,055s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-10 12:01:05,2020-09-10 12:01:09,"3,411s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:09,2020-09-10 12:01:09,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu,,,,2020-09-10 12:01:09,2020-09-10 12:01:13,"4,701s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:09,2020-09-10 12:01:10,"1,059s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-10 12:01:10,2020-09-10 12:01:13,"3,435s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:13,2020-09-10 12:01:13,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,,,,2020-09-10 12:01:13,2020-09-10 12:01:18,"4,580s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:13,2020-09-10 12:01:14,"1,054s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle.feature"")",,,,2020-09-10 12:01:15,2020-09-10 12:01:18,"3,324s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:18,2020-09-10 12:01:18,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle,,,,2020-09-10 12:01:18,2020-09-10 12:01:22,"4,451s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:18,2020-09-10 12:01:19,"1,054s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle.feature"")",,,,2020-09-10 12:01:19,2020-09-10 12:01:22,"3,202s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:22,2020-09-10 12:01:22,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu,,,,2020-09-10 12:01:22,2020-09-10 12:01:27,"4,482s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:22,2020-09-10 12:01:23,"0,995s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-10 12:01:24,2020-09-10 12:01:27,"3,276s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:27,2020-09-10 12:01:27,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu,,,,2020-09-10 12:01:27,2020-09-10 12:01:31,"4,564s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:27,2020-09-10 12:01:28,"1,058s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-10 12:01:28,2020-09-10 12:01:31,"3,298s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 12:01:31,2020-09-10 12:01:31,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle,,,,2020-09-10 12:01:31,2020-09-10 12:01:36,"4,379s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 12:01:31,2020-09-10 12:01:32,"0,997s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle.feature"")",,,,2020-09-10 12:01:33,2020-09-10 12:01:36,"3,219s",FAILED
