Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-11 16:47:55,2020-09-11 17:40:20,"52m - 25,500s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-11 16:47:55,2020-09-11 16:48:01,"6,394s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:47:55,2020-09-11 16:47:59,"3,627s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-11 16:47:59,2020-09-11 16:48:01,"2,368s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:01,2020-09-11 16:48:01,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-11 16:48:01,2020-09-11 16:48:11,"10,097s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:01,2020-09-11 16:48:03,"1,234s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-11 16:48:03,2020-09-11 16:48:11,"8,560s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:11,2020-09-11 16:48:11,"0,014s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-11 16:48:11,2020-09-11 16:48:21,"9,527s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:11,2020-09-11 16:48:13,"1,216s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-11 16:48:13,2020-09-11 16:48:21,"7,989s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:21,2020-09-11 16:48:21,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-11 16:48:21,2020-09-11 16:48:30,"8,888s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:21,2020-09-11 16:48:22,"1,292s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-11 16:48:23,2020-09-11 16:48:30,"7,301s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:30,2020-09-11 16:48:30,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,,,,2020-09-11 16:48:30,2020-09-11 16:48:39,"9,275s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:30,2020-09-11 16:48:31,"1,250s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",,,,2020-09-11 16:48:31,2020-09-11 16:48:39,"7,765s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:39,2020-09-11 16:48:39,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,,,,2020-09-11 16:48:39,2020-09-11 16:48:49,"9,639s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:39,2020-09-11 16:48:40,"1,201s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 16:48:41,2020-09-11 16:48:49,"8,171s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:49,2020-09-11 16:48:49,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu,,,,2020-09-11 16:48:49,2020-09-11 16:48:58,"8,792s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:49,2020-09-11 16:48:50,"1,244s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 16:48:50,2020-09-11 16:48:58,"7,284s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:48:58,2020-09-11 16:48:58,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,,,,2020-09-11 16:48:58,2020-09-11 16:49:07,"9,267s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:48:58,2020-09-11 16:48:59,"1,269s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle.feature"")",,,,2020-09-11 16:48:59,2020-09-11 16:49:07,"7,761s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:49:07,2020-09-11 16:49:07,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle,,,,2020-09-11 16:49:07,2020-09-11 16:49:16,"8,895s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:49:07,2020-09-11 16:49:08,"1,275s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle.feature"")",,,,2020-09-11 16:49:08,2020-09-11 16:49:16,"7,389s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:49:16,2020-09-11 16:49:16,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu,,,,2020-09-11 16:49:16,2020-09-11 16:49:25,"9,393s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:49:16,2020-09-11 16:49:17,"1,199s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 16:49:17,2020-09-11 16:49:25,"7,895s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:49:25,2020-09-11 16:49:25,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu,,,,2020-09-11 16:49:25,2020-09-11 16:49:34,"9,233s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:49:25,2020-09-11 16:49:26,"1,293s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 16:49:27,2020-09-11 16:49:34,"7,654s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:49:34,2020-09-11 16:49:34,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle,,,,2020-09-11 16:49:34,2020-09-11 16:49:43,"8,621s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:49:34,2020-09-11 16:49:36,"1,260s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle.feature"")",,,,2020-09-11 16:49:36,2020-09-11 16:49:43,"7,140s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:49:43,2020-09-11 16:49:43,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla,,,,2020-09-11 16:49:43,2020-09-11 16:49:51,"8,392s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:49:43,2020-09-11 16:49:44,"1,246s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla.feature"")",,,,2020-09-11 16:49:44,2020-09-11 16:49:51,"6,935s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:49:51,2020-09-11 16:49:51,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu,,,,2020-09-11 16:49:51,2020-09-11 16:50:00,"8,786s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:49:51,2020-09-11 16:49:53,"1,256s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 16:49:53,2020-09-11 16:50:00,"7,289s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:50:00,2020-09-11 16:50:00,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu,,,,2020-09-11 16:50:00,2020-09-11 16:50:09,"8,598s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:50:00,2020-09-11 16:50:01,"1,244s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 16:50:02,2020-09-11 16:50:09,"7,095s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:50:09,2020-09-11 16:50:09,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle,,,,2020-09-11 16:50:09,2020-09-11 16:50:18,"9,156s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:50:09,2020-09-11 16:50:10,"1,266s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Kullanici Ekle.feature"")",,,,2020-09-11 16:50:10,2020-09-11 16:50:18,"7,608s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:50:18,2020-09-11 16:50:18,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla,,,,2020-09-11 16:50:18,2020-09-11 16:50:28,"9,854s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 16:50:18,2020-09-11 16:50:19,"1,303s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Rol ve Departman Tanimla.feature"")",,,,2020-09-11 16:50:20,2020-09-11 16:50:28,"8,278s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 16:50:28,2020-09-11 16:50:28,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Buton Kontrolu,,,,2020-09-11 16:50:28,2020-09-11 16:50:38,"10,186s",FAILED
