Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,Chrome 84.0.4147.135,,,2020-09-08 18:07:00,2020-09-08 20:32:01,"2h - 25m - 1,036s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,Chrome 84.0.4147.135,,,2020-09-08 18:07:01,2020-09-08 18:07:24,"23,709s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:07:01,2020-09-08 18:07:07,"6,521s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-08 18:07:07,2020-09-08 18:07:24,"16,926s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:07:24,2020-09-08 18:07:24,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,Chrome 84.0.4147.135,,,2020-09-08 18:07:24,2020-09-08 18:07:44,"19,252s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:07:24,2020-09-08 18:07:29,"5,001s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-08 18:07:30,2020-09-08 18:07:44,"14,035s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:07:44,2020-09-08 18:07:44,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,Chrome 84.0.4147.135,,,2020-09-08 18:07:44,2020-09-08 18:08:03,"19,320s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:07:44,2020-09-08 18:07:49,"4,975s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-08 18:07:49,2020-09-08 18:08:03,"14,153s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:08:03,2020-09-08 18:08:03,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,Chrome 84.0.4147.135,,,2020-09-08 18:08:03,2020-09-08 18:08:22,"19,214s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:08:03,2020-09-08 18:08:08,"5,031s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",Chrome 84.0.4147.135,,,2020-09-08 18:08:08,2020-09-08 18:08:22,"13,939s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:08:22,2020-09-08 18:08:22,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,Chrome 84.0.4147.135,,,2020-09-08 18:08:22,2020-09-08 18:08:41,"19,334s",FAILED
Start listener action : sampleBeforeTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:08:22,2020-09-08 18:08:27,"5,023s",PASSED
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",Chrome 84.0.4147.135,,,2020-09-08 18:08:27,2020-09-08 18:08:41,"14,085s",FAILED
Start listener action : sampleAfterTestSuite,Chrome 84.0.4147.135,,,2020-09-08 18:08:41,2020-09-08 18:08:41,"0,000s",PASSED
,,,,,,,
