Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-10 00:00:30,2020-09-10 00:23:31,"23m - 0,437s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-10 00:00:31,2020-09-10 00:00:37,"6,018s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:31,2020-09-10 00:00:33,"2,413s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-10 00:00:33,2020-09-10 00:00:37,"3,357s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:37,2020-09-10 00:00:37,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-10 00:00:37,2020-09-10 00:00:40,"3,353s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:37,2020-09-10 00:00:38,"1,013s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-10 00:00:38,2020-09-10 00:00:40,"2,165s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:40,2020-09-10 00:00:40,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-10 00:00:40,2020-09-10 00:00:43,"3,387s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:40,2020-09-10 00:00:41,"1,012s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-10 00:00:41,2020-09-10 00:00:43,"2,158s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:43,2020-09-10 00:00:43,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-10 00:00:43,2020-09-10 00:00:47,"3,399s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:43,2020-09-10 00:00:44,"1,002s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-10 00:00:45,2020-09-10 00:00:47,"2,212s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:47,2020-09-10 00:00:47,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,,,,2020-09-10 00:00:47,2020-09-10 00:00:50,"3,317s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:47,2020-09-10 00:00:48,"0,994s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",,,,2020-09-10 00:00:48,2020-09-10 00:00:50,"2,132s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:50,2020-09-10 00:00:50,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,,,,2020-09-10 00:00:50,2020-09-10 00:00:53,"3,382s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:50,2020-09-10 00:00:51,"0,994s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-10 00:00:51,2020-09-10 00:00:53,"2,219s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:53,2020-09-10 00:00:53,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu,,,,2020-09-10 00:00:53,2020-09-10 00:00:57,"3,491s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:53,2020-09-10 00:00:54,"1,000s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-10 00:00:55,2020-09-10 00:00:57,"2,299s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:00:57,2020-09-10 00:00:57,"0,002s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,,,,2020-09-10 00:00:57,2020-09-10 00:01:00,"3,546s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:00:57,2020-09-10 00:00:58,"0,992s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle.feature"")",,,,2020-09-10 00:00:58,2020-09-10 00:01:00,"2,377s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:00,2020-09-10 00:01:00,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle,,,,2020-09-10 00:01:00,2020-09-10 00:01:04,"3,492s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:01:00,2020-09-10 00:01:02,"1,055s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle.feature"")",,,,2020-09-10 00:01:02,2020-09-10 00:01:04,"2,279s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:04,2020-09-10 00:01:04,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu,,,,2020-09-10 00:01:04,2020-09-10 00:01:07,"3,424s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:01:04,2020-09-10 00:01:05,"0,992s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-10 00:01:05,2020-09-10 00:01:07,"2,238s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:07,2020-09-10 00:01:07,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu,,,,2020-09-10 00:01:07,2020-09-10 00:01:11,"3,540s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:01:07,2020-09-10 00:01:08,"1,042s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-10 00:01:09,2020-09-10 00:01:11,"2,318s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:11,2020-09-10 00:01:11,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle,,,,2020-09-10 00:01:11,2020-09-10 00:01:15,"3,561s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:01:11,2020-09-10 00:01:12,"1,035s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Rol Ekle.feature"")",,,,2020-09-10 00:01:12,2020-09-10 00:01:15,"2,353s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:15,2020-09-10 00:01:15,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla,,,,2020-09-10 00:01:15,2020-09-10 00:01:18,"3,766s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:01:15,2020-09-10 00:01:16,"1,049s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Yetki Tanimla.feature"")",,,,2020-09-10 00:01:16,2020-09-10 00:01:18,"2,491s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:18,2020-09-10 00:01:18,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu,,,,2020-09-10 00:01:18,2020-09-10 00:01:22,"3,603s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-10 00:01:18,2020-09-10 00:01:19,"1,062s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-10 00:01:20,2020-09-10 00:01:22,"2,328s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-10 00:01:22,2020-09-10 00:01:22,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Kullanici Tanimlari/Filtre Kontrolu,,,,2020-09-10 00:01:22,2020-09-10 00:01:25,"3,373s",FAILED
