Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AllSuite,,,,2020-09-11 12:00:38,2020-09-11 12:40:29,"39m - 51,140s",FAILED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv VKN,,,,2020-09-11 12:00:38,2020-09-11 12:00:47,"8,383s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:00:38,2020-09-11 12:00:41,"2,555s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Arsiv Adresi VKN.feature"")",,,,2020-09-11 12:00:41,2020-09-11 12:00:47,"5,548s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:00:47,2020-09-11 12:00:47,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura VKN,,,,2020-09-11 12:00:47,2020-09-11 12:00:52,"5,308s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:00:47,2020-09-11 12:00:48,"0,996s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Fatura Adresi VKN.feature"")",,,,2020-09-11 12:00:48,2020-09-11 12:00:52,"4,142s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:00:52,2020-09-11 12:00:52,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye VKN,,,,2020-09-11 12:00:52,2020-09-11 12:00:58,"5,502s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:00:52,2020-09-11 12:00:53,"1,057s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Irsaliye Adresi VKN.feature"")",,,,2020-09-11 12:00:53,2020-09-11 12:00:58,"4,209s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:00:58,2020-09-11 12:00:58,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN,,,,2020-09-11 12:00:58,2020-09-11 12:01:03,"5,562s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:00:58,2020-09-11 12:00:59,"1,012s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Mustahsil Makbuz TCKN.feature"")",,,,2020-09-11 12:00:59,2020-09-11 12:01:03,"4,342s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:03,2020-09-11 12:01:03,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu VKN,,,,2020-09-11 12:01:03,2020-09-11 12:01:09,"5,896s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:03,2020-09-11 12:01:04,"1,056s",ERROR
"runFeatureFile(""Include/features/Ayarlar/Araclar/Adres Defteri/Adres Defteri Olusturma/e-Serbest Meslek Makbuzu Adresi VKN.feature"")",,,,2020-09-11 12:01:04,2020-09-11 12:01:09,"4,619s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:09,2020-09-11 12:01:09,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu,,,,2020-09-11 12:01:09,2020-09-11 12:01:15,"5,762s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:09,2020-09-11 12:01:10,"1,057s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 12:01:10,2020-09-11 12:01:15,"4,516s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:15,2020-09-11 12:01:15,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu,,,,2020-09-11 12:01:15,2020-09-11 12:01:21,"5,712s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:15,2020-09-11 12:01:16,"1,052s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Filtre Kontrolu.feature"")",,,,2020-09-11 12:01:16,2020-09-11 12:01:21,"4,447s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:21,2020-09-11 12:01:21,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle,,,,2020-09-11 12:01:21,2020-09-11 12:01:26,"5,630s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:21,2020-09-11 12:01:22,"0,993s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Departman Ekle.feature"")",,,,2020-09-11 12:01:22,2020-09-11 12:01:26,"4,479s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:26,2020-09-11 12:01:26,"0,001s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle,,,,2020-09-11 12:01:26,2020-09-11 12:01:32,"5,770s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:26,2020-09-11 12:01:27,"0,992s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Departman Tanimlari/Kural Tanimla/Kural Ekle.feature"")",,,,2020-09-11 12:01:27,2020-09-11 12:01:32,"4,612s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:32,2020-09-11 12:01:32,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu,,,,2020-09-11 12:01:32,2020-09-11 12:01:38,"5,646s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:32,2020-09-11 12:01:33,"0,982s",ERROR
"runFeatureFile(""Include/features/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Buton Kontrolu.feature"")",,,,2020-09-11 12:01:33,2020-09-11 12:01:38,"4,476s",FAILED
Start listener action : sampleAfterTestSuite,,,,2020-09-11 12:01:38,2020-09-11 12:01:38,"0,000s",PASSED
,,,,,,,
Test Cases/Case Repository/Firma Yonetimi/Yetki Yonetimi/Rol ve Yetki Tanimlari/Filtre Kontrolu,,,,2020-09-11 12:01:38,2020-09-11 12:01:43,"5,852s",FAILED
Start listener action : sampleBeforeTestSuite,,,,2020-09-11 12:01:38,2020-09-11 12:01:39,"0,999s",ERROR
